439816,20160405,22750,03222,99852
439916,20160406,65816,03216,15374
440016,20160409,63069,70225,90162
440116,20160410,37653,76472,29934
440216,20160413,68835,61716,61923
440316,20160416,02717,67754,70522
440416,20160417,60306,54376,01265
440516,20160420,93363,84394,00876
440616,20160423,49350,12278,69094
440716,20160424,74153,25432,30932
440816,20160426,65975,01220,94931
440916,20160427,97720,80616,13647
441016,20160430,47998,89332,21216
441116,20160501,98476,70118,70671
441216,20160503,46094,16720,39030
441316,20160504,44653,26663,03500
441416,20160507,33182,00469,11859
441516,20160508,38061,92796,62925
441616,20160511,56629,30656,37513
441716,20160514,86213,42662,82596
441816,20160515,30906,46688,61419
441916,20160518,40480,36880,93421
442016,20160521,67564,50889,21981
442116,20160522,46595,56930,13090
442216,20160525,85259,41970,78248
442316,20160528,70112,65476,10932
442416,20160529,04861,14241,42433
442516,20160531,62314,02119,94789
442616,20160601,09690,58463,88636
